yr,month,skj_bkk,skj_thai,yft_thai
2003,jul,740,683.434643,1156.956181
2003,aug,810,757.3171469,1179.907302
2003,sep,880,828.7179341,1159.137967
2003,oct,800,865.0709836,1170.031637
2003,nov,730,825.7769651,1022.109212
2003,dec,790,808.3496578,993.54904
2004,jan,850,797.3411597,936.146179
2004,feb,780,833.9358028,980.8717286
2004,mar,680,810.5202278,967.9120105
2004,apr,760,755.1025006,932.5658728
2004,may,870,727.1806492,929.3877038
2004,jun,950,835.7895175,1077.842958
2004,jul,1030,912.2053711,1170.214198
2004,aug,1130,984.8344229,1262.706822
2004,sep,1125,1075.354883,1237.57246
2004,oct,900,1073.075561,1239.928422
2004,nov,790,988.6384932,1210.525964
2004,dec,730,843.8445072,1124.246964
2005,jan,690,754.7295755,942.0540086
2005,feb,820,731.5810426,1094.469702
2005,mar,920,791.4929819,1199.478018
2005,apr,950,904.314893,1142.674133
2005,may,930,962.2042571,1277.888879
2005,jun,880,929.0961605,1252.556814
2005,jul,940,896.6928661,1284.630526
2005,aug,1000,964.3625762,1431.955077
2005,sep,830,979.965474,1431.31665
2005,oct,800,880.4324202,1374.269207
2005,nov,730,814.0402168,1271.988928
2005,dec,675,779.4790716,1167.88177
2006,jan,830,778.7608969,1154.061386
2006,feb,995,826.8273792,1215.241099
2006,mar,895,980.8058274,1307.246421
2006,apr,840,929.7140051,1825.675169
2006,may,915,902.3632859,1249.380588
2006,jun,955,920.8552086,1254.466241
2006,jul,870,1001.212817,1237.668246
2006,aug,930,917.7527439,1430.561578
2006,sep,920,947.013048,1378.171875
2006,oct,895,933.0420379,1495.211123
2006,nov,880,947.6560169,1584.260832
2006,dec,945,925.2908419,1471.701006
2007,jan,1060,991.2994572,1342.012145
2007,feb,1005,1061.244665,1508.207606
2007,mar,1025,1083.414122,1586.204384
2007,apr,1085,1126.364538,1539.4643
2007,may,1180,1127.993708,1584.393461
2007,jun,1315,1204.651858,1728.777352
2007,jul,1395,1345.192043,1943.353166
2007,aug,1520,1460.605644,1793.22864
2007,sep,1430,1553.485192,1811.807231
2007,oct,1445,1564.722907,1944.512346
2007,nov,1430,1676.532844,1876.57487
2007,dec,1475,1564.164153,2065.022636
2008,jan,1540,1622.377838,2018.913223
2008,feb,1435,1634.959366,1912.719203
2008,mar,1470,1999.34888,2093.741894
2008,apr,1615,1490.184234,1916.785564
2008,may,1725,1553.957852,2007.140998
2008,jun,1920,1643.33099,2001.603463
2008,jul,1865,1826.980804,2012.638725
2008,aug,1805,1896.45913,2017.645166
2008,sep,1720,1788.966889,1934.785554
2008,oct,1430,1738.213897,1846.994692
2008,nov,1125,1539.974156,1693.435704
2008,dec,860,1338.176551,1452.744222
2009,jan,938,1016.828183,1254.254262
2009,feb,1180,1067.449603,1309.535222
2009,mar,1150,1188.787575,1378.761871
2009,apr,980,1124.639286,1357.199655
2009,may,1063,1087.119875,1364.835049
2009,jun,1333,1218.524401,1346.493752
2009,jul,1410,1377.471678,1460.725561
2009,aug,1350,1376.32958,1533.192985
2009,sep,1200,1360.431085,1555.385518
2009,oct,838,1166.948149,1482.398963
2009,nov,813,955.6929577,1388.903392
2009,dec,933,891.5054479,1200.804502
2010,jan,1053,953.1181349,1466.810646
2010,feb,950,1060.001647,1550.439667
2010,mar,977,1019.95989,1509.152903
2010,apr,1215,1067.636455,1563.588524
2010,may,1528,1280.510351,1582.800891
2010,jun,1675,1492.07181,1698.090795
2010,jul,1540,1641.841516,1587.781052
2010,aug,1250,1606.034114,1602.412498
2010,sep,1175,1438.922025,1727.641082
2010,oct,1078,1302.362084,1593.895799
2010,nov,1030,1165.625096,1425.830924
2010,dec,1150,1103.700819,1413.594845
2011,jan,1515,1251.948974,1609.300072
2011,feb,1590,1453.958942,1614.787539
2011,mar,1475,1582.832169,1776.618382
2011,apr,1680,1565.527994,1849.775142
2011,may,1840,1631.606882,1912.642584
2011,jun,1905,1828.343999,2091.85719
2011,jul,1620,1906.83845,2275.704935
2011,aug,1845,1761.8035,2330.495785
